Artist,Title
Lipps Inc.,Funkytown
Olivia Newton-John,Physical
Madonna,Like a Prayer
Cyndi Lauper,Girls Just Want to Have Fun
Eurythmics,Sweet Dreams (Are Made of This)
George Michael,Careless Whisper
a-ha,Take On Me
Stevie Nicks,Edge of Seventeen (or similar Sherry-era track)
Madonna,Papa Don't Preach
Rick Astley,Never Gonna Give You Up
Whitney Houston,I Will Always Love You
Haddaway,What Is Love
Michael Jackson,They Don't Care About Us
Toni Braxton,Un-Break My Heart
Spice Girls,Wannabe
Aqua,Barbie Girl
Britney Spears,...Baby One More Time
Cher,Believe
TLC,No Scrubs
Backstreet Boys,I Want It That Way
Britney Spears,Oops!... I Did It Again
Destiny's Child,Survivor
Beyoncé,Crazy in Love (or similar)
Gwen Stefani,Hollaback Girl
Fifth Harmony,Worth It
Adele,Hello
The Weeknd,Starboy
Charlie Puth,We Don't Talk Anymore
Shawn Mendes,Treat You Better
Ed Sheeran,Shape of You
Beyoncé,Single Ladies (Put a Ring on It)
Katy Perry,Hot n Cold
Lady Gaga,Bad Romance
Pharrell Williams,Happy
Miley Cyrus,Wrecking Ball
Taylor Swift,Shake It Off
Adele,Someone Like You
Carly Rae Jepsen,Call Me Maybe
Bruno Mars,Locked Out of Heaven
The Weeknd,Blinding Lights
Taylor Swift,Anti-Hero
Miley Cyrus,Flowers
HUGEL SOLTO (FR),Jamaican (Bam Bam)
The Black Eyed Peas,I Gotta Feeling
Justin Bieber,Baby
Train,Hey, Soul Sister
Katy Perry,California Gurls
Usher,OMG
Lady Gaga,Telephone
Eminem,Love the Way You Lie
Lady Gaga,Bad Romance
Ke$ha,Tik Tok
Bruno Mars,The Lazy Song
Maroon 5,Moves Like Jagger
The Black Eyed Peas,The Time (Dirty Bit)
LMFAO,Party Rock Anthem
Bruno Mars,Grenade
Bruno Mars,Just the Way You Are
Flo Rida,Wild Ones
Flo Rida,Whistle
Maroon 5,One More Night
Nicki Minaj,Starships
Michel Teló,Ai Se Eu Te Pego
Maroon 5,Payphone
Fun.,We Are Young
PSY,Gangnam Style
Gotye,Somebody That I Used to Know
Carly Rae Jepsen,Call Me Maybe
Rihanna,Stay
will.i.am,Scream & Shout
Bruno Mars,When I Was Your Man
Imagine Dragons,Radioactive
Daft Punk,Get Lucky
Katy Perry,Roar
P!nk,Just Give Me a Reason
Avicii,Wake Me Up
Macklemore & Ryan Lewis,Thrift Shop
Robin Thicke,Blurred Lines
Enrique Iglesias,Bailando
Magic!,Rude
Ariana Grande,Problem
Iggy Azalea,Fancy
Pitbull,Timber
Idina Menzel,Let It Go
Meghan Trainor,All About That Bass
John Legend,All of Me
Katy Perry,Dark Horse
Pharrell Williams,Happy
Maroon 5,Sugar
Ed Sheeran,Thinking Out Loud
Mark Ronson,Uptown Funk
Wiz Khalifa,See You Again
Twenty One Pilots,Stressed Out
The Chainsmokers,Don't Let Me Down
Lukas Graham,7 Years
Rihanna,Work
Justin Bieber,Sorry
Sia,Cheap Thrills
The Chainsmokers,Closer
Justin Bieber,Love Yourself
Drake,One Dance
Imagine Dragons,Believer
Ed Sheeran,Perfect
DJ Khaled,I'm the One
Charlie Puth,Attention
Kendrick Lamar,HUMBLE.
Bruno Mars,That's What I Like
The Chainsmokers,Something Just Like This
Luis Fonsi,Despacito
Ed Sheeran,Shape of You
Post Malone,Psycho
Marshmello,Friends
Bebe Rexha,Meant to Be (or similar "Be Apart")
Maroon 5,Girls Like You
Drake,God's Plan
Camila Cabello,Havana
Halsey,Without Me
Lewis Capaldi,Someone You Loved
Lady Gaga & Bradley Cooper,Shallow
Ed Sheeran,I Don't Care
Tones and I,Dance Monkey
Ariana Grande,7 Rings
Post Malone,Sunflower
Shawn Mendes & Camila Cabello,Señorita
Lil Nas X,Old Town Road
Billie Eilish,bad guy
BTS,Dynamite
Post Malone,rockstar
surfaces,Sunday Best (or "Made to Love")
Future,Life Is Good
Dua Lipa,Don't Start Now
Saint Jhn,Roses
Roddy Ricch,The Box
The Weeknd,Blinding Lights
 
